"","study_name","id","lambda.best","alpha.best","eta.best","delta.best"
"1","Canessa2013","1",1.0605,0.13224,2.9027e+13,NA
"2","Chib2014","1",2.3314017773509,0.69313235860124,3.89481609174398,NA
"3","Frydman2014","1",1.8323478710802,0.722514484214364,6.81183861293457,NA
"4","Gloeckner2012","1",0.76137,0.70174,0.015653,0.6779
"5","Kocher2011","1",4.0858,0.019011,0.17955,0.70707
"6","Lorains2014","1",2.0858,12.293,3.2235,NA
"7","Pighin2014","1",1.1254,0.6228,9.39,NA
"8","Rieskamp2008","1",2.46079201434985,0.813496848556981,0.145026273481025,1.27202150018415
"9","Sokol_Hessner2014","1",2.0555,0.64476,-1.2466,NA
"10","Tom2007","1",1.0693,1.4965,0.33932,NA
"11","Vrecko2012","1",0.11483,1.0922,7.2925,0.88894
"12","Zeisberger2012","1",0.823324907,0.820513114,4.667092065,0.642810754
"13","Canessa2013","10",1.36814578504233,0.677393302423012,0.824290333641407,NA
"14","Chib2014","10",4.7921,1.8115,0.43819,NA
"15","Frydman2014","10",0.93901,1.0955,5.1477,NA
"16","Gloeckner2012","10",1.8446,0.6419,0.018022,0.67965
"17","Kocher2011","10",2.8844,0.39646,-0.1717,0.85193
"18","Lorains2014","10",9.8637,2.3527,12.852,NA
"19","Pahlke2012","10",0.975774784694714,1.00601642449843,2.49094210102969,0.808912351282502
"20","Pighin2014","10",0.74867,1.0403,0.41996,NA
"21","Rieskamp2008","10",1.0724,0.8612,0.13206,0.89894
"22","Sokol_Hessner2014","10",1.2248,1.5305,1.1077,NA
"23","Tom2007","10",2.38663899337713,3.9006001050893,0.31300167641734,NA
"24","Vrecko2012","10",0.787805056,0.805331626,6.064311058,0.653648296
"25","Zeisberger2012","10",1.0311,0.95433,2.2132,1.0065
"26","Sokol_Hessner2013A","100",1.5154,1.3491,1.6075,NA
"27","Sokol_Hessner2013R","100",2.4539,2.9708,0.52423,NA
"28","Vrecko2012","100",1.615,0.82724,3.0329,1.0165
"29","Sokol_Hessner2013A","101",1.7875,1.0329,3.4955,NA
"30","Sokol_Hessner2013R","101",0.99657,1.113,2.259,NA
